CMAES_ACC gen=195 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=196 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=197 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=198 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=199 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=200 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=201 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=202 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=203 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=204 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=205 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=206 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=207 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=208 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=209 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=210 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=211 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=212 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=213 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=214 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=215 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=216 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=217 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=218 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=219 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=220 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=221 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=222 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=223 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=224 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
